"","Date","country","cases","year"
"1",2002-12-29,"Brazil",174,2002
"2",2002-12-29,"Peru",329,2002
"3",2003-01-05,"Brazil",162,2003
"4",2003-01-05,"Peru",315,2003
"5",2003-01-12,"Brazil",174,2003
"6",2003-01-12,"Chile",1,2003
"7",2003-01-12,"Peru",314,2003
"8",2003-01-19,"Brazil",162,2003
"9",2003-01-19,"Chile",0,2003
"10",2003-01-19,"Peru",267,2003
"11",2003-01-26,"Brazil",131,2003
"12",2003-01-26,"Chile",0,2003
"13",2003-01-26,"Peru",241,2003
"14",2003-02-02,"Argentina",136,2003
"15",2003-02-02,"Brazil",151,2003
"16",2003-02-02,"Chile",0,2003
"17",2003-02-02,"Peru",227,2003
"18",2003-02-09,"Argentina",145,2003
"19",2003-02-09,"Brazil",184,2003
"20",2003-02-09,"Chile",0,2003
"21",2003-02-09,"Peru",250,2003
"22",2003-02-09,"Romania",664,2003
"23",2003-02-16,"Argentina",141,2003
"24",2003-02-16,"Brazil",162,2003
"25",2003-02-16,"Chile",0,2003
"26",2003-02-16,"Peru",236,2003
"27",2003-02-16,"Romania",736,2003
"28",2003-02-23,"Argentina",135,2003
"29",2003-02-23,"Bolivia",426,2003
"30",2003-02-23,"Brazil",194,2003
"31",2003-02-23,"Chile",0,2003
"32",2003-02-23,"Peru",274,2003
"33",2003-02-23,"Romania",740,2003
"34",2003-03-02,"Argentina",134,2003
"35",2003-03-02,"Bolivia",427,2003
"36",2003-03-02,"Brazil",177,2003
"37",2003-03-02,"Chile",0,2003
"38",2003-03-02,"Peru",270,2003
"39",2003-03-02,"Romania",864,2003
"40",2003-03-09,"Argentina",136,2003
"41",2003-03-09,"Bolivia",460,2003
"42",2003-03-09,"Brazil",223,2003
"43",2003-03-09,"Chile",0,2003
"44",2003-03-09,"Peru",312,2003
"45",2003-03-09,"Romania",824,2003
"46",2003-03-16,"Argentina",134,2003
"47",2003-03-16,"Bolivia",541,2003
"48",2003-03-16,"Brazil",213,2003
"49",2003-03-16,"Chile",1,2003
"50",2003-03-16,"Peru",350,2003
"51",2003-03-16,"Romania",819,2003
"52",2003-03-16,"Uruguay",105,2003
